month,temperature,local_events,holiday_season,predicted_visitors
7,38,3,0,540
4,30,5,1,900
11,30,2,1,600
8,40,1,0,300
5,35,5,1,800
7,38,1,0,340
10,35,1,0,400
3,25,4,0,900
7,38,3,0,540
11,30,3,1,700
11,30,4,1,800
8,40,1,0,300
5,35,1,1,400
4,30,2,1,600
8,40,5,0,700
8,40,1,0,300
3,25,5,0,1000
6,37,0,0,260
5,35,5,1,800
2,21,1,0,680
8,40,2,0,400
12,25,0,1,500
6,37,2,0,460
2,21,5,0,1080
12,25,2,1,700
5,35,5,1,800
1,20,3,0,900
12,25,5,1,1000
10,35,4,0,700
6,37,2,0,460
12,25,1,1,600
9,39,3,0,520
1,20,0,0,600
11,30,5,1,900
11,30,4,1,800
10,35,3,0,600
12,25,2,1,700
12,25,3,1,800
3,25,1,0,600
12,25,1,1,600
7,38,1,0,340
4,30,4,1,800
9,39,3,0,520
3,25,3,0,800
5,35,2,1,500
3,25,0,0,500
7,38,1,0,340
5,35,0,1,300
9,39,0,0,220
7,38,1,0,340
2,21,1,0,680
4,30,2,1,600
9,39,4,0,620
12,25,1,1,600
2,21,0,0,580
10,35,2,0,500
9,39,3,0,520
10,35,2,0,500
5,35,1,1,400
2,21,5,0,1080
4,30,1,1,500
12,25,4,1,900
12,25,2,1,700
7,38,1,0,340
12,25,0,1,500
8,40,0,0,200
3,25,2,0,700
1,20,4,0,1000
4,30,5,1,900
2,21,2,0,780
8,40,4,0,600
4,30,0,1,400
2,21,1,0,680
6,37,3,0,560
6,37,1,0,360
10,35,0,0,300
4,30,5,1,900
6,37,0,0,260
2,21,1,0,680
10,35,1,0,400
12,25,5,1,1000
2,21,5,0,1080
10,35,0,0,300
4,30,1,1,500
8,40,3,0,500
7,38,3,0,540
12,25,2,1,700
9,39,3,0,520
8,40,0,0,200
5,35,0,1,300
2,21,2,0,780
5,35,4,1,700
8,40,2,0,400
10,35,4,0,700
9,39,4,0,620
12,25,1,1,600
12,25,5,1,1000
12,25,3,1,800
9,39,4,0,620
1,20,1,0,700
9,39,2,0,420
7,38,2,0,440
9,39,4,0,620
8,40,1,0,300
1,20,0,0,600
12,25,5,1,1000
8,40,5,0,700
8,40,3,0,500
11,30,4,1,800
3,25,0,0,500
1,20,3,0,900
8,40,0,0,200
3,25,5,0,1000
3,25,1,0,600
1,20,4,0,1000
11,30,0,1,400
5,35,0,1,300
10,35,0,0,300
7,38,5,0,740
10,35,4,0,700
9,39,1,0,320
12,25,1,1,600
7,38,0,0,240
9,39,1,0,320
8,40,3,0,500
12,25,1,1,600
2,21,0,0,580
1,20,3,0,900
7,38,4,0,640
7,38,2,0,440
8,40,5,0,700
5,35,1,1,400
3,25,3,0,800
12,25,2,1,700
8,40,4,0,600
6,37,2,0,460
11,30,4,1,800
3,25,0,0,500
1,20,0,0,600
3,25,5,0,1000
5,35,5,1,800
3,25,4,0,900
1,20,2,0,800
5,35,5,1,800
10,35,1,0,400
7,38,2,0,440
7,38,5,0,740
11,30,2,1,600
9,39,1,0,320
10,35,2,0,500
10,35,2,0,500
12,25,3,1,800
3,25,4,0,900
7,38,0,0,240
1,20,5,0,1100
4,30,5,1,900
4,30,5,1,900
5,35,4,1,700
7,38,2,0,440
7,38,1,0,340
11,30,1,1,500
4,30,0,1,400
7,38,0,0,240
11,30,0,1,400
3,25,1,0,600
6,37,2,0,460
12,25,0,1,500
2,21,0,0,580
10,35,1,0,400
9,39,5,0,720
5,35,2,1,500
